ID;INSEE_COM;INSEE_DEP;INSEE_REG;CODE_EPCI;NOM_COM_M;POPULATION;Nb_Ventes;PrixMoyen_M2
COMMUNE_0000000009760011;32307;32;76;200066926;PAVIE;2481;19;1591
COMMUNE_0000000009757546;33255;33;75;200043974;LUCMAU;243;4;1484
COMMUNE_0000000009761055;64465;64;75;200067296;RIUPEYROUS;204;NA;NA
COMMUNE_0000000009729928;2678;2;32;240200634;SAINTE GENEVIEVE;74;NA;NA
COMMUNE_0000000009748085;39480;39;27;200071116;SAINT DIDIER;274;1;1372
COMMUNE_0000000009753295;38134;38;84;200085751;COUR ET BUIS;853;NA;NA
COMMUNE_0000000009727987;59504;59;32;200042190;ROEULX;3830;31;1218
COMMUNE_0000000009730176;50077;50;28;200067205;BRETTEVILLE;1092;19;1983
COMMUNE_0000000009739618;88511;88;44;200068559;VILLOUXEL;80;1;429
COMMUNE_0000000009749748;1241;1;84;200071751;MEILLONNAS;1332;5;1670
COMMUNE_0000000009758963;84086;84;93;200040442;OPPEDE;1361;NA;NA
COMMUNE_0000000009729066;80104;80;32;200069722;BIENCOURT;133;NA;NA
COMMUNE_0000000009760827;64349;64;75;200039204;LOUBIENG;512;2;1709
COMMUNE_0000000009736318;57566;57;44;200068146;REDING;2406;NA;NA
COMMUNE_0000000009736492;77018;77;11;247700339;BAILLY ROMAINVILLIERS;7564;125;3765
COMMUNE_0000000009744564;89273;89;27;200067130;MOUTIERS EN PUISAYE;288;5;953
COMMUNE_0000000009732901;55023;55;44;200066116;AVOCOURT;110;NA;NA
COMMUNE_0000000009759466;34142;34;76;200017341;LODEVE;7426;85;1620
COMMUNE_0000000009759590;40201;40;75;200069631;MUGRON;1413;12;1092
COMMUNE_0000000009759519;31164;31;76;200071314;DRUDAS;223;NA;NA
COMMUNE_0000000009736030;93029;93;11;200054781;DRANCY;70269;495;3429
COMMUNE_0000000009748764;18217;18;24;200049484;SAINT JEANVRIN;154;NA;NA
COMMUNE_0000000009745464;37171;37;24;200043065;NOIZAY;1146;21;1912
COMMUNE_0000000009733930;2655;2;32;200072031;RONCHERES;113;3;1201
COMMUNE_0000000009747736;18045;18;24;241800424;CHALIVOY MILON;438;4;712
COMMUNE_0000000009740035;52284;52;44;200044253;LESCHERES SUR LE BLAISERON;101;NA;NA
COMMUNE_0000000009729263;80336;80;32;200071181;FOUCAUCOURT HORS NESLE;77;NA;NA
COMMUNE_0000000009736053;92035;92;11;200054781;GARENNE COLOMBES;29248;513;6583
COMMUNE_0000000009730089;76538;76;28;200070068;ROSAY;267;4;1004
COMMUNE_0000000009729699;80617;80;32;200070928;PARVILLERS LE QUESNOY;234;4;973
COMMUNE_0000000009737905;77138;77;11;200072874;COURTOMER;528;14;2954
COMMUNE_0000000009748995;86006;86;75;200070043;ANTIGNY;557;8;743
COMMUNE_0000000009751846;23091;23;75;200044014;GIOUX;168;2;1741
COMMUNE_0000000009746321;37254;37;24;200071587;TAUXIGNY SAINT BAULD;1665;22;1593
COMMUNE_0000000009735002;77427;77;11;200033090;SAINT MESMES;613;3;3040
COMMUNE_0000000009760390;34219;34;76;200066348;PREMIAN;518;8;1500
COMMUNE_0000000009737242;29111;29;53;200067072;LANHOUARNEAU;1316;11;1100
COMMUNE_0000000009749468;79109;79;75;200041317;ECHIRE;3337;39;1653
COMMUNE_0000000009759614;6004;6;93;240600585;ANTIBES;73798;1919;4515
COMMUNE_0000000009732700;14325;14;28;200065597;HERMANVILLE SUR MER;3064;2;1767
COMMUNE_0000000009756969;47265;47;75;244701405;SAINT PASTOUR;394;5;770
COMMUNE_0000000009749565;71169;71;27;200070308;DAVAYE;682;4;1787
COMMUNE_0000000009752172;17395;17;75;200036473;SAINT SAUVANT;489;8;1268
COMMUNE_0000000009761388;64350;64;75;200067106;LOUHOSSOA;904;2;2155
COMMUNE_0000000009738817;77039;77;11;247700057;BOISSISE LA BERTRAND;1160;14;3108
COMMUNE_0000000009747049;18154;18;24;200007177;MORNAY BERRY;186;1;415
COMMUNE_0000000009759975;31462;31;76;243100815;ROUFFIAC TOLOSAN;1978;26;3651
COMMUNE_0000000009733169;14231;14;28;200065563;BEAUFOUR DRUVAL;441;7;2721
